"","niveles_cobertura"
"1","100% BOSQUE PLANTADO"
"2","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  PASTO CULTIVADO"
"3","70% PASTO CULTIVADO CON 30% CULTIVO DE MAIZ"
"4","70% CULTIVO DE CICLO CORTO CON 30% CULTIVO BAJO INVERNADERO"
"5","70% PASTO CULTIVADO CON 30% BOSQUE PLANTADO"
"6","50% CULTIVO DE CICLO CORTO CON 50% PASTO CULTIVADO"
"7","70% CULTIVO DE CICLO CORTO CON 30% PASTO CULTIVADO"
"8","100% AREA URBANA"
"9","100% PASTO CULTIVADO"
"10","70% PASTO CULTIVADO CON 30% CULTIVO DE CEREALES"
"11","CULTIVOS DE CICLO CORTO  EN AREAS CON FUERTE PROCESO DE EROSION"
"12","70% CULTIVO DE CEREALES CON 30% BOSQUE PLANTADO"
"13","70% VEGETACION ARBUSTIVA CON 30% PASTO CULTIVADO"
"14","50% PASTO CULTIVADO CON 50% VEGETACION ARBUSTIVA"
"15","70% PASTO CULTIVADO CON 30% VEGETACION ARBUSTIVA"
"16","70% BOSQUE INTERVENIDO CON 30% BOSQUE PLANTADO"
"17","100% CULTIVO DE CICLO CORTO"
"18","100% CULTIVO DE MAIZ"
"19","70% CULTIVO DE CICLO CORTO CON 30% VEGETACION ARBUSTIVA"
"20","50% CULTIVO DE CEREALES CON 50% PASTO CULTIVADO"
"21","70% VEGETACION ARBUSTIVA CON 30% AFLORAMIENTO ROCOSO"
"22","70% BOSQUE PLANTADO CON 30% VEGETACION ARBUSTIVA"
"23","70% CULTIVO DE CEREALES CON 30% PASTO CULTIVADO"
"24","100% CULTIVO DE CEREALES"
"25","70% VEGETACION ARBUSTIVA CON 30% BOSQUE PLANTADO"
"26","70% PASTO CULTIVADO CON 30% CULTIVO DE CICLO CORTO"
"27","70% PASTO NATURAL CON 30% CULTIVO DE CICLO CORTO"
"28","50% ARBORICULTURA TROPICAL CON 50% PASTO CULTIVADO"
"29","70% BOSQUE INTERVENIDO CON 30% PASTO CULTIVADO"
"30",""
"31","70% PASTO CULTIVADO CON 30% PASTO NATURAL"
"32","50% CULTIVO DE CICLO CORTO CON 50% VEGETACION ARBUSTIVA"
"33","100% PASTO NATURAL"
"34","70% BOSQUE PLANTADO CON 30% PASTO CULTIVADO"
"35","70% CULTIVO DE CAFE CON 30% CULTIVO DE CACAO"
"36","70% BOSQUE INTERVENIDO CON 30% PASTO NATURAL"
"37","70% CULTIVO DE CICLO CORTO CON 30% BOSQUE INTERVENIDO"
"38","70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CICLO CORTO"
"39","70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE CEBADA"
"40","70% PASTO NATURAL CON 30% VEGETACION ARBUSTIVA"
"41","70% BOSQUE INTERVENIDO CON 30% VEGETACION ARBUSTIVA"
"42","100% BOSQUE NATURAL"
"43","50% BOSQUE PLANTADO CON 50% PASTO CULTIVADO"
"44","70% CULTIVO DE MAIZ CON 30% PASTO CULTIVADO"
"45","70% PASTO CULTIVADO CON 30% CULTIVO DE CEBADA"
"46","50% PASTO NATURAL CON 50% VEGETACION ARBUSTIVA"
"47","70% ARBORICULTURA TROPICAL CON 30% PASTO CULTIVADO"
"48","100% VEGETACION ARBUSTIVA"
"49","70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE CEREALES"
"50","70% BOSQUE INTERVENIDO CON 30% CULTIVO DE CEREALES"
"51","50% CULTIVO DE MAIZ CON 50% PASTO NATURAL"
"52","70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE PAPA"
"53","70% ARBORICULTURA TROPICAL CON 30% CULTIVO DE MAIZ"
"54","50% CULTIVO DE CICLO CORTO CON 50% PARAMO"
"55","50% CULTIVO DE MAIZ CON 50% ARBORICULTURA TROPICAL"
"56","70% PASTO NATURAL CON 30% CULTIVO DE FRUTALES"
"57","CULTIVO DE CEREALES EN AREAS CON PROCESO DE EROSION"
"58","70% PARAMO CON 30% CULTIVO DE CEREALES"
"59","50% BOSQUE PLANTADO CON 50% VEGETACION ARBUSTIVA"
"60","70% BOSQUE INTERVENIDO CON 30% ARBORICULTURA TROPICAL"
"61","70% BOSQUE PLANTADO CON 30% CULTIVO DE CICLO CORTO"
"62","70% CULTIVO DE MAIZ CON 30% BOSQUE INTERVENIDO"
"63","CULTIVO DE MAIZ EN AREAS CON FUERTE PROCESO DE EROSION"
"64","70% PASTO CULTIVADO CON 30% ARBORICULTURA TROPICAL"
"65","50% BOSQUE INTERVENIDO CON 50% CULTIVOS DE CICLO CORTO"
"66","70% VEGETACION ARBUSTIVA CON 30% PASTO NATURAL"
"67","100% PARAMO"
"68","CULTIVO DE MAIZ EN AREAS CON PROCESO DE EROSION"
"69","100% CUERPO DE AGUA NATURAL"
"70","70% CULTIVO DE CICLO CORTO CON 30% PASTO NATURAL"
"71","70% PASTO NATURAL CON 30% AFLORAMIENTO ROCOSO"
"72","70% PASTO NATURAL CON 30% PASTO CULTIVADO"
"73","70% CULTIVO DE MAIZ CON 30% CULTIVO DE PAPA"
"74","70% CULTIVO DE CICLO CORTO CON 30% ARBORICULTURA TROPICAL"
"75","50% PARAMO CON 50% VEGETACION ARBUSTIVA"
"76","70% CULTIVO DE MAIZ CON 30% BOSQUE PLANTADO"
"77","50% BOSQUE INTERVENIDO CON 50% VEGETACION ARBUSTIVA"
"78","50% CULTIVO DE CICLO CORTO CON 50% ARBORICULTURA TROPICAL"
"79","50% BOSQUE INTERVENIDO CON 50% PASTO CULTIVADO"
"80","PASTO NATURAL EN AREAS CON PROCESO DE EROSION"
"81","ARBORICULTURA TROPICAL EN AREAS CON PROCESO DE EROSION"
"82","50% ARBORICULTURA TROPICAL CON 50% VEGETACION ARBUSTIVA"
"83","PASTO NATURAL EN AREAS CON FUERTE PROCESO DE EROSION"
"84","50% CULTIVO DE MAIZ CON 50% CULTIVO DE FRUTALES"
"85","70% PASTO CULTIVADO CON 30% CULTIVO DE PAPA"
"86","100% ARBORICULTURA TROPICAL"
"87","AREA EROSIONADA"
"88","70% VEGETACION ARBUSTIVA CON 30% BOSQUE INTERVENIDO"
"89","70% CULTIVO DE MAIZ CON 30% VEGETACION ARBUSTIVA"
"90","70% ARBORICULTURA TROPICAL CON 30% CULTIVO DE CICLO CORTO"
"91","70% BOSQUE INTERVENIDO CON 30% CULTIVO DE CICLO CORTO"
"92","70% CULTIVO DE FRUTALES CON 30% PASTO NATURAL"
"93","PASTO CULTIVADO EN AREAS CON PROCESO DE EROSION"
"94","70% ARBORICULTURA TROPICAL CON 30% BOSQUE INTERVENIDO"
"95","70% BOSQUE PLANTADO CON 30% PASTO NATURAL"
"96","CULTIVOS DE CICLO CORTO  EN AREAS CON PROCESO DE EROSION"
"97","CULTIVO DE CEREALES EN AREAS CON FUERTE PROCESO DE EROSION"
"98","50% CULTIVO DE BROCOLI CON 50% PASTO CULTIVADO"
"99","70% PARAMO CON 30% CULTIVO DE CICLO CORTO"
"100","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE MAIZ"
"101","70% PASTO CULTIVADO CON 30% CULTIVO BAJO INVERNADERO"
"102","50% CULTIVO DE CEBADA CON 50% CULTIVO DE MAIZ"
"103","70% CULTIVO DE MAIZ CON 30% CULTIVO DE FRUTALES"
"104","50% CULTIVO DE CEREALES CON 50% VEGETACION ARBUSTIVA"
"105","50% CULTIVO DE PAPA CON 50% PASTO CULTIVADO"
"106","70% PASTO CULTIVADO CON 30% PARAMO"
"107","50% CULTIVO DE CEREALES CON 50% CULTIVO DE MAIZ"
"108","50% CULTIVO DE MAIZ CON 50% PASTO CULTIVADO"
"109","70% CULTIVO DE CEREALES CON 30% CULTIVO DE PAPA"
"110","100% CULTIVO DE PAPA"
"111","100% CULTIVO BAJO INVERNADERO"
"112","70% CULTIVO DE MAIZ CON 30% CULTIVO DE CICLO CORTO"
"113","100% CULTIVO DE BROCOLI"
"114","70% CULTIVO DE PAPA CON 30% PASTO CULTIVADO"
"115","70% CULTIVO DE CEREALES CON 30% CULTIVO DE MAIZ"
"116","50% BOSQUE PLANTADO CON 50% CULTIVO DE FRUTALES"
"117","70% VEGETACION ARBUSTIVA CON 30% CULTIVO DE PAPA"
"118","70% BOSQUE PLANTADO CON 30% CULTIVO DE PAPA"
"119","70% CULTIVO DE MAIZ CON 30% CULTIVO BAJO INVERNADERO"
"120","50% BOSQUE PLANTADO CON 50% CULTIVO DE MAIZ"
"121","50% CULTIVO DE CEBADA CON 50% PASTO CULTIVADO"
"122","70% PARAMO CON 30% PASTO CULTIVADO"
"123","50% BOSQUE PLANTADO CON 50% PASTO NATURAL"
"124","70% BOSQUE PLANTADO CON 30% CULTIVO DE MAIZ"
"125","PASTO CULTIVADO EN AREAS CON FUERTE PROCESO DE EROSION"
"126","70% CULTIVO DE CEBADA CON 30% CULTIVO DE PAPA"
"127","70% AFLORAMIENTO ROCOSO CON 30% PASTO NATURAL"
"128","70% PASTO NATURAL CON 30% BOSQUE PLANTADO"
"129","50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE PAPA"
"130","70% PARAMO CON 30% BOSQUE PLANTADO"
"131","70% PASTO CULTIVADO CON 30% CULTIVO DE BROCOLI"
"132","50% BOSQUE PLANTADO CON 50% PARAMO"
"133","100% AFLORAMIENTO ROCOSO"
"134","70% PARAMO CON 30% CULTIVO DE CEBADA"
"135","100% NIEVE O HIELO"
"136","100% CULTIVO DE CEBADA"
"137","70% VEGETACION ARBUSTIVA CON 30% PARAMO"
"138","50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE MAIZ"
"139","70% CULTIVO DE CEREALES CON 30% PASTO NATURAL"
"140","70% CULTIVO DE CEREALES CON 30% CULTIVO BAJO INVERNADERO"
"141","100% CULTIVO DE FRUTALES"
"142","70% CULTIVO DE CICLO CORTO CON 30% BOSQUE PLANTADO"
"143","50% CULTIVO DE CICLO CORTO CON 50% CULTIVO BAJO INVERNADERO"
"144","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CEBADA"
"145","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CICLO CORTO"
"146","50% AFLORAMIENTO ROCOSO CON 50% NIEVE O HIELO"
"147","70% PARAMO CON 30% VEGETACION ARBUSTIVA"
"148","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE PASTO NATURAL"
"149","CULTIVOS DE CEBADA  EN AREAS CON FUERTE PROCESO DE EROSION"
"150","VEGETACION DE PARAMO EN AREAS CON FUERTE PROCESO DE EROSION"
"151","VEGETACION ARBUSTIVA EN AREAS CON PROCESO DE EROSION"
"152","70% CULTIVO DE CEBADA CON 30% PASTO CULTIVADO"
"153","70% PARAMO CON 30% BOSQUE INTERVENIDO"
"154","70% CULTIVO DE CEREALES CON 30% VEGETACION ARBUSTIVA"
"155","AREAS EROSIONADAS EN LAS CUALES AUN SE REGISTRAN VESTIGIOS DE  CULTIVOS DE CEREALES"
"156","70% CULTIVO DE CEBADA CON 30% CULTIVO DE CICLO CORTO"
"157","50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE CEBADA"
"158","70% BOSQUE INTERVENIDO CON 30% CULTIVO DE MAIZ"
"159","50% CULTIVO DE CEREALES CON 50% PARAMO"
"160","50% CULTIVO DE MAIZ CON 50% PARAMO"
"161","50% CULTIVO DE CICLO CORTO CON 50% CULTIVO DE CEREALES"
"162","70% VEGETACION ARBUSTIVA CON 30% HUMEDAL"
"163","70% PASTO NATURAL CON 30% CULTIVO DE CEREALES"
"164","50% BOSQUE PLANTADO CON 50% CULTIVO DE CICLO CORTO"
"165","70% CULTIVO DE CEBADA CON 30% CULTIVO DE MAIZ"
"166","50% BOSQUE INTERVENIDO CON 50% PASTO NATURAL"
"167","70% CULTIVO DE CICLO CORTO CON 30% CULTIVO DE MAIZ"
"168","70% VEGETACION ARBUSTIVA CON 30% ARBORICULTURA TROPICAL"
"169","70% CULTIVO DE MAIZ CON 30% PASTO NATURAL"
"170","50% PASTO CULTIVADO CON 50% PASTO NATURAL"
"171","50% CULTIVO DE CICLO CORTO CON 50% PASTO NATURAL"
